날짜,요일,주말여부,주문수,코로나발발,공휴일,복날,방학여부,평균기온,최저기온,최고기온,강우여부,강수량mm,지하철승하차인원,버스승하차인원,도마1동인구,도마2동인구,변동인구,영업가게,확진자,완치자,사망자,전국확진자,전국완치자,전국사망자,구글검색량,네이버검색량,유튜브조회수
2015-11-08,일,1,64,0,0,0,0,13.9,13.4,14.5,1,15.5,70875,NA,NA,NA,NA,45,0,0,0,0,0,0,26,NA,NA
2015-11-09,월,0,31,0,0,0,0,13.1,11.5,15.2,1,1.7,121481,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-10,화,0,19,0,0,0,0,11,8,14.5,0,NA,122053,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-11,수,0,28,0,0,0,0,11.9,6.8,18.3,0,NA,131575,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-12,목,0,24,0,0,0,0,13.6,8.8,19.4,0,NA,125337,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-13,금,0,50,0,0,0,0,12.2,11.1,13.6,1,30.7,124222,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-14,토,1,53,0,0,0,0,13.5,12.2,15.7,1,3.7,105452,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-15,일,1,54,0,0,0,0,13.5,9.8,17,0,NA,77663,NA,NA,NA,NA,45,0,0,0,0,0,0,36,NA,NA
2015-11-16,월,0,34,0,0,0,0,11.7,8.4,14.2,1,26.3,118972,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-17,화,0,37,0,0,0,0,13.7,12.1,15.1,1,1.5,119615,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-18,수,0,33,0,0,0,0,12.1,10.2,13.5,1,1.9,120912,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-19,목,0,32,0,0,0,0,10.3,9.5,11.3,1,1.8,125799,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-20,금,0,47,0,0,0,0,11.2,8.7,15.1,0,NA,135515,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-21,토,1,49,0,0,0,0,10,7.6,13,0,NA,115561,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-22,일,1,47,0,0,0,0,11.9,6,17.1,1,0.1,76460,NA,NA,NA,NA,45,0,0,0,0,0,0,30,NA,NA
2015-11-23,월,0,32,0,0,0,0,10.8,9.6,13.3,1,9.6,117324,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-24,화,0,48,0,0,0,0,7.9,5.1,9.6,1,0.8,123296,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-25,수,0,30,0,0,0,0,5.7,3.4,7.2,1,8.7,121463,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-26,목,0,36,0,0,0,0,0.4,-1.2,3.4,1,1.9,121773,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-27,금,0,44,0,0,0,0,0.1,-2.3,2.6,0,0,130819,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-28,토,1,64,0,0,0,0,3.5,0.7,8,1,0.1,100718,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-11-29,일,1,63,0,0,0,0,6.8,3.5,11.2,0,0,75968,NA,NA,NA,NA,45,0,0,0,0,0,0,49,NA,NA
2015-11-30,월,0,33,0,0,0,0,6.9,2.3,11.1,0,0,120443,NA,17711,20850,18001,45,0,0,0,0,0,0,NA,NA,NA
2015-12-01,화,0,49,0,0,0,0,4.4,-1.4,12.4,0,NA,120134,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-02,수,0,32,0,0,0,0,6.2,3,9.7,1,6.7,114766,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-03,목,0,52,0,0,0,0,2.6,-0.6,6.8,1,3.6,122518,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-04,금,0,51,0,0,0,0,1.8,-1.4,4.3,1,0.5,133594,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-05,토,1,61,0,0,0,0,5.4,3.3,8.2,0,NA,103747,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-06,일,1,53,0,0,0,0,2.1,-1.6,6.9,0,NA,74536,NA,NA,NA,NA,45,0,0,0,0,0,0,24,NA,NA
2015-12-07,월,0,33,0,0,0,0,2.1,-4,9.4,0,NA,122630,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-08,화,0,41,0,0,0,0,3.4,-1.7,10.4,0,NA,123833,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-09,수,0,27,0,0,0,0,5.2,-1.4,12.9,0,NA,126216,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-10,목,0,45,0,0,0,0,8.1,6.4,9.6,1,10.3,118343,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-11,금,0,56,0,0,0,0,7.3,4.8,9.9,1,0.3,134811,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-12,토,1,60,0,0,0,0,7.3,2,12.8,0,NA,109635,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
2015-12-13,일,1,51,0,0,0,0,8.3,5.4,14.2,0,NA,74834,NA,NA,NA,NA,45,0,0,0,0,0,0,41,NA,NA
2015-12-14,월,0,47,0,0,0,0,7.2,5.4,8.9,1,9.9,119289,NA,NA,NA,NA,45,0,0,0,0,0,0,NA,NA,NA
