날짜,요일,객수
2015-10-15,목,1
2015-10-16,금,4
2015-10-17,토,17
2015-10-18,일,7
2015-10-19,월,17
2015-10-20,화,20
2015-10-21,수,32
2015-10-22,목,24
2015-10-23,금,22
2015-10-24,토,43
2015-10-25,일,23
2015-10-26,월,26
2015-10-27,화,35
2015-10-28,수,34
2015-10-29,목,31
2015-10-30,금,34
2015-10-31,토,41
2015-11-01,일,50
2015-11-02,월,28
2015-11-03,화,29
2015-11-04,수,33
2015-11-05,목,26
2015-11-06,금,41
2015-11-07,토,59
2015-11-08,일,64
2015-11-09,월,31
2015-11-10,화,19
2015-11-11,수,28
2015-11-12,목,24
2015-11-13,금,50
2015-11-14,토,53
2015-11-15,일,54
2015-11-16,월,34
2015-11-17,화,37
2015-11-18,수,33
2015-11-19,목,32
2015-11-20,금,47
2015-11-21,토,49
2015-11-22,일,47
2015-11-23,월,32
2015-11-24,화,48
2015-11-25,수,30
2015-11-26,목,36
2015-11-27,금,44
2015-11-28,토,64
2015-11-29,일,63
2015-11-30,월,33
2015-12-01,화,49
2015-12-02,수,32
2015-12-03,목,52
2015-12-04,금,51
2015-12-05,토,61
2015-12-06,일,53
2015-12-07,월,33
2015-12-08,화,41
2015-12-09,수,27
2015-12-10,목,45
2015-12-11,금,56
2015-12-12,토,60
2015-12-13,일,51
2015-12-14,월,47
2015-12-15,화,39
2015-12-16,수,39
2015-12-17,목,46
2015-12-18,금,50
2015-12-19,토,51
2015-12-20,일,56
2015-12-21,월,24
2015-12-22,화,39
2015-12-23,수,26
2015-12-24,목,64
2015-12-25,금,63
2015-12-26,토,53
2015-12-27,일,44
2015-12-28,월,29
2015-12-29,화,28
2015-12-30,수,34
2015-12-31,목,62
2016-01-01,금,45
2016-01-02,토,41
2016-01-03,일,26
2016-01-04,월,30
2016-01-05,화,27
2016-01-06,수,41
2016-01-07,목,23
2016-01-08,금,51
2016-01-09,토,41
2016-01-10,일,43
2016-01-11,월,18
2016-01-12,화,26
2016-01-13,수,25
2016-01-14,목,27
2016-01-15,금,44
2016-01-16,토,43
2016-01-17,일,50
2016-01-18,월,50
2016-01-19,화,25
2016-01-20,수,32
2016-01-21,목,26
2016-01-22,금,51
2016-01-23,토,27
2016-01-25,월,36
2016-01-26,화,39
2016-01-27,수,35
2016-01-28,목,47
2016-01-29,금,41
2016-01-30,토,46
2016-01-31,일,34
2016-02-01,월,38
2016-02-02,화,42
2016-02-03,수,28
2016-02-04,목,32
