날짜,요일,고객수,평균기온...,최저기온...,최고기온...,강수량.mm.,구글.검색량,네이버.검색량,확진자,사망자,완치자,지하철_승하차인원,공휴일,복날,방학여부,도마1동인구,도마2동인구,변동인구
2015-10-15,목,1,16.9,10.8,24.5,NA,NA,NA,NA,NA,NA,NA,0,0,0,17803,20976,18050
2015-10-16,금,4,16.2,11.3,22.7,NA,NA,NA,NA,NA,NA,NA,0,0,0,17801,20974,18049
2015-10-17,토,17,17,11.6,25,NA,NA,NA,NA,NA,NA,NA,0,0,0,17799,20971,18048
2015-10-18,일,7,16.5,10,24.5,NA,36,NA,NA,NA,NA,NA,0,0,0,17797,20969,18047
2015-10-19,월,17,17.1,11.2,24.5,NA,NA,NA,NA,NA,NA,NA,0,0,0,17795,20966,18046
2015-10-20,화,20,16.6,11.2,23.1,NA,NA,NA,NA,NA,NA,NA,0,0,0,17793,20964,18045
2015-10-21,수,32,17.3,12,24.4,NA,NA,NA,NA,NA,NA,NA,0,0,0,17791,20961,18044
2015-10-22,목,24,17.8,12.3,24.6,NA,NA,NA,NA,NA,NA,NA,0,0,0,17789,20959,18043
2015-10-23,금,22,17.4,14.7,21.7,NA,NA,NA,NA,NA,NA,NA,0,0,0,17787,20956,18042
2015-10-24,토,43,16.1,12.1,21.5,0,NA,NA,NA,NA,NA,NA,0,0,0,17785,20954,18041
2015-10-25,일,23,15.7,9.8,22.7,NA,27,NA,NA,NA,NA,NA,0,0,0,17783,20951,18040
2015-10-26,월,26,16.9,12.2,22.7,NA,NA,NA,NA,NA,NA,NA,0,0,0,17781,20948,18039
2015-10-27,화,35,12.9,8.8,16.5,26.4,NA,NA,NA,NA,NA,NA,0,0,0,17779,20946,18038
2015-10-28,수,34,11.6,5.7,17.5,NA,NA,NA,NA,NA,NA,NA,0,0,0,17777,20943,18037
2015-10-29,목,31,10.8,6.5,16,0.5,NA,NA,NA,NA,NA,NA,0,0,0,17775,20941,18036
2015-10-30,금,34,7.3,3.4,12.5,0,NA,NA,NA,NA,NA,NA,0,0,0,17773,20938,18035
2015-10-31,토,41,6.1,-0.1,13.3,NA,NA,NA,NA,NA,NA,NA,0,0,0,17771,20936,18034
2015-11-01,일,50,5.7,1,9.1,NA,26,NA,NA,NA,NA,NA,0,0,0,17769,20934,18033
2015-11-02,월,28,9.4,4.1,16.4,NA,NA,NA,NA,NA,NA,NA,0,0,0,17767,20932,18032
2015-11-03,화,29,10.9,5.2,18.9,NA,NA,NA,NA,NA,NA,NA,0,0,0,17765,20930,18031
2015-11-04,수,33,11,3.7,20.4,NA,NA,NA,NA,NA,NA,NA,0,0,0,17763,20928,18030
2015-11-05,목,26,12.5,6.9,20,NA,NA,NA,NA,NA,NA,NA,0,0,0,17761,20925,18029
