,날짜,요일,고객수,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm),구글검색,네이버 검색량,영업가게
0,2015-10-15,목,1.0,16.9,10.8,24.5,,33.0,,45.0
1,2015-10-16,금,4.0,16.2,11.3,22.7,,34.0,,45.0
2,2015-10-17,토,17.0,17.0,11.6,25.0,,35.0,,45.0
3,2015-10-18,일,7.0,16.5,10.0,24.5,,36.0,,45.0
4,2015-10-19,월,17.0,17.1,11.2,24.5,,34.714285714285715,,45.0
5,2015-10-20,화,20.0,16.6,11.2,23.1,,33.42857142857143,,45.0
6,2015-10-21,수,32.0,17.3,12.0,24.4,,32.14285714285714,,45.0
7,2015-10-22,목,24.0,17.8,12.3,24.6,,30.857142857142854,,45.0
8,2015-10-23,금,22.0,17.4,14.7,21.7,,29.57142857142857,,45.0
9,2015-10-24,토,43.0,16.1,12.1,21.5,0.0,28.285714285714285,,45.0
10,2015-10-25,일,23.0,15.7,9.8,22.7,,27.0,,45.0
11,2015-10-26,월,26.0,16.9,12.2,22.7,,26.857142857142854,,45.0
12,2015-10-27,화,35.0,12.9,8.8,16.5,26.4,26.714285714285715,,45.0
13,2015-10-28,수,34.0,11.6,5.7,17.5,,26.57142857142857,,45.0
14,2015-10-29,목,31.0,10.8,6.5,16.0,0.5,26.42857142857143,,45.0
15,2015-10-30,금,34.0,7.3,3.4,12.5,0.0,26.285714285714285,,45.0
16,2015-10-31,토,41.0,6.1,-0.1,13.3,,26.142857142857146,,45.0
17,2015-11-01,일,50.0,5.7,1.0,9.1,,26.0,,45.0
18,2015-11-02,월,28.0,9.4,4.1,16.4,,26.0,,45.0
19,2015-11-03,화,29.0,10.9,5.2,18.9,,26.0,,45.0
20,2015-11-04,수,33.0,11.0,3.7,20.4,,26.0,,45.0
21,2015-11-05,목,26.0,12.5,6.9,20.0,,26.0,,45.0
22,2015-11-06,금,41.0,14.0,7.7,21.4,0.6,26.0,,45.0
23,2015-11-07,토,59.0,13.4,12.5,14.1,21.2,26.0,,45.0
24,2015-11-08,일,64.0,13.9,13.4,14.5,15.5,26.0,,45.0
25,2015-11-09,월,31.0,13.1,11.5,15.2,1.7,27.42857142857143,,45.0
26,2015-11-10,화,19.0,11.0,8.0,14.5,,28.857142857142854,,45.0
27,2015-11-11,수,28.0,11.9,6.8,18.3,,30.285714285714285,,45.0
28,2015-11-12,목,24.0,13.6,8.8,19.4,,31.714285714285715,,45.0
29,2015-11-13,금,50.0,12.2,11.1,13.6,30.7,33.142857142857146,,45.0
30,2015-11-14,토,53.0,13.5,12.2,15.7,3.7,34.57142857142857,,45.0
31,2015-11-15,일,54.0,13.5,9.8,17.0,,36.0,,45.0
32,2015-11-16,월,34.0,11.7,8.4,14.2,26.3,35.142857142857146,,45.0
33,2015-11-17,화,37.0,13.7,12.1,15.1,1.5,34.285714285714285,,45.0
34,2015-11-18,수,33.0,12.1,10.2,13.5,1.9,33.42857142857143,,45.0
35,2015-11-19,목,32.0,10.3,9.5,11.3,1.8,32.57142857142857,,45.0
36,2015-11-20,금,47.0,11.2,8.7,15.1,,31.714285714285715,,45.0
37,2015-11-21,토,49.0,10.0,7.6,13.0,,30.857142857142854,,45.0
38,2015-11-22,일,47.0,11.9,6.0,17.1,0.1,30.0,,45.0
39,2015-11-23,월,32.0,10.8,9.6,13.3,9.6,32.714285714285715,,45.0
40,2015-11-24,화,48.0,7.9,5.1,9.6,0.8,35.42857142857143,,45.0
41,2015-11-25,수,30.0,5.7,3.4,7.2,8.7,38.14285714285714,,45.0
42,2015-11-26,목,36.0,0.4,-1.2,3.4,1.9,40.85714285714286,,45.0
43,2015-11-27,금,44.0,0.1,-2.3,2.6,0.0,43.57142857142857,,45.0
44,2015-11-28,토,64.0,3.5,0.7,8.0,0.1,46.28571428571429,,45.0
45,2015-11-29,일,63.0,6.8,3.5,11.2,0.0,49.0,,45.0
46,2015-11-30,월,33.0,6.9,2.3,11.1,0.0,45.42857142857143,,45.0
47,2015-12-01,화,49.0,4.4,-1.4,12.4,,41.857142857142854,,45.0
48,2015-12-02,수,32.0,6.2,3.0,9.7,6.7,38.285714285714285,,45.0
49,2015-12-03,목,52.0,2.6,-0.6,6.8,3.6,34.714285714285715,,45.0
50,2015-12-04,금,51.0,1.8,-1.4,4.3,0.5,31.142857142857146,,45.0
51,2015-12-05,토,61.0,5.4,3.3,8.2,,27.57142857142857,,45.0
52,2015-12-06,일,53.0,2.1,-1.6,6.9,,24.0,,45.0
53,2015-12-07,월,33.0,2.1,-4.0,9.4,,26.42857142857143,,45.0
54,2015-12-08,화,41.0,3.4,-1.7,10.4,,28.857142857142854,,45.0
55,2015-12-09,수,27.0,5.2,-1.4,12.9,,31.285714285714285,,45.0
56,2015-12-10,목,45.0,8.1,6.4,9.6,10.3,33.714285714285715,,45.0
57,2015-12-11,금,56.0,7.3,4.8,9.9,0.3,36.14285714285714,,45.0
58,2015-12-12,토,60.0,7.3,2.0,12.8,,38.57142857142857,,45.0
59,2015-12-13,일,51.0,8.3,5.4,14.2,,41.0,,45.0
60,2015-12-14,월,47.0,7.2,5.4,8.9,9.9,39.857142857142854,,45.0
