날짜,네이버 검색량
2016-01-01,18.23815
2016-01-02,14.80715
2016-01-03,13.31454
2016-01-04,11.59519
2016-01-05,12.68932
2016-01-06,12.31177
2016-01-07,13.36077
2016-01-08,16.55512
2016-01-09,16.03777
2016-01-10,15.59858
2016-01-11,11.92761
2016-01-12,11.82304
2016-01-13,12.9469
2016-01-14,12.16427
2016-01-15,14.84677
2016-01-16,17.38178
2016-01-17,18.80943
2016-01-18,16.49018
2016-01-19,15.61069
2016-01-20,14.13459
2016-01-21,13.61725
2016-01-22,15.94751
2016-01-23,21.60201
2016-01-24,22.07643
2016-01-25,16.01796
2016-01-26,12.5143
2016-01-27,12.13565
2016-01-28,16.61346
2016-01-29,16.45495
2016-01-30,22.24484
2016-01-31,16.41753
2016-02-01,11.49942
2016-02-02,11.48952
2016-02-03,10.68377
2016-02-04,12.61227
2016-02-05,16.28984
2016-02-06,15.62279
2016-02-07,15.91669
2016-02-08,22.12706
2016-02-09,27.58123
2016-02-10,23.45235
2016-02-11,14.82146
2016-02-12,19.0604
2016-02-13,22.14358
2016-02-14,18.98996
2016-02-15,16.27883
2016-02-16,16.04988
2016-02-17,13.89133
2016-02-18,14.45821
2016-02-19,18.37684
2016-02-20,20.02245
2016-02-21,18.25356
2016-02-22,15.30358
2016-02-23,14.54627
2016-02-24,13.8473
2016-02-25,13.78236
2016-02-26,16.65419
2016-02-27,18.33942
2016-02-28,21.15181
2016-02-29,17.1187
2016-03-01,16.50669
2016-03-02,9.34638
2016-03-03,7.91211
2016-03-04,12.68492
2016-03-05,18.56617
2016-03-06,13.18906
2016-03-07,8.22032
2016-03-08,8.84004
2016-03-09,8.16198
2016-03-10,10.00462
2016-03-11,12.91497
2016-03-12,15.60628
2016-03-13,14.64644
2016-03-14,8.15427
2016-03-15,7.85597
2016-03-16,7.97485
2016-03-17,7.8956
2016-03-18,11.35743
2016-03-19,13.77025
2016-03-20,12.30847
2016-03-21,7.08325
2016-03-22,7.54006
2016-03-23,7.7437
2016-03-24,7.48502
2016-03-25,10.75202
2016-03-26,13.14283
2016-03-27,12.10813
2016-03-28,6.81798
2016-03-29,7.3023
2016-03-30,7.146
2016-03-31,7.58299
2016-04-01,11.25066
2016-04-02,14.79394
2016-04-03,14.83356
2016-04-04,8.27866
2016-04-05,8.01558
2016-04-06,8.9358
2016-04-07,8.50211
2016-04-08,11.52584
2016-04-09,15.40595
2016-04-10,14.83136
2016-04-11,8.11575
2016-04-12,10.37006
2016-04-13,13.74493
2016-04-14,7.54777
2016-04-15,12.78619
2016-04-16,21.2828
2016-04-17,15.54574
2016-04-18,10.2699
2016-04-19,9.86262
2016-04-20,12.54513
2016-04-21,13.53689
2016-04-22,17.99379
2016-04-23,21.52056
2016-04-24,18.41537
2016-04-25,11.70416
2016-04-26,11.615
2016-04-27,12.45156
2016-04-28,11.97384
2016-04-29,15.13076
2016-04-30,18.40987
2016-05-01,16.48467
2016-05-02,12.33709
2016-05-03,14.19293
2016-05-04,13.62055
2016-05-05,17.4148
2016-05-06,16.8237
2016-05-07,15.32449
2016-05-08,14.62112
2016-05-09,9.54561
2016-05-10,10.74432
2016-05-11,9.21979
2016-05-12,9.64027
2016-05-13,13.21548
2016-05-14,16.29094
2016-05-15,18.62011
2016-05-16,9.60505
2016-05-17,8.85324
2016-05-18,9.15925
2016-05-19,9.17466
2016-05-20,12.25893
2016-05-21,15.12966
2016-05-22,15.04821
2016-05-23,8.67052
2016-05-24,9.52029
2016-05-25,8.88296
2016-05-26,9.01065
2016-05-27,11.88358
2016-05-28,15.28817
2016-05-29,13.5501
2016-05-30,8.36011
2016-05-31,9.54891
2016-06-01,10.00572
2016-06-02,9.62817
2016-06-03,11.88358
2016-06-04,16.55842
2016-06-05,17.95196
2016-06-06,16.71693
2016-06-07,9.48067
2016-06-08,9.69091
2016-06-09,9.59514
2016-06-10,13.36518
2016-06-11,18.38675
2016-06-12,17.20456
2016-06-13,9.01065
2016-06-14,9.19447
2016-06-15,10.04314
2016-06-16,9.39151
2016-06-17,11.80103
2016-06-18,15.96622
2016-06-19,14.30411
2016-06-20,9.62266
2016-06-21,9.57863
2016-06-22,9.9815
2016-06-23,8.52302
2016-06-24,11.55006
2016-06-25,13.57101
2016-06-26,12.33268
2016-06-27,8.03209
2016-06-28,8.10694
2016-06-29,8.1862
2016-06-30,9.55992
2016-07-01,16.3779
2016-07-02,14.03002
2016-07-03,12.59246
2016-07-04,9.49498
2016-07-05,11.12847
2016-07-06,8.59787
2016-07-07,8.37442
2016-07-08,11.00409
2016-07-09,12.69593
2016-07-10,12.04319
2016-07-11,8.80701
2016-07-12,9.05138
2016-07-13,8.13776
2016-07-14,8.38873
2016-07-15,11.63481
2016-07-16,14.40868
2016-07-17,16.10712
2016-07-18,8.24564
2016-07-19,8.52743
2016-07-20,8.6342
2016-07-21,8.69584
2016-07-22,10.82027
2016-07-23,15.80331
2016-07-24,13.35087
2016-07-25,10.61002
2016-07-26,10.78284
2016-07-27,16.88974
2016-07-28,13.01734
2016-07-29,14.93153
2016-07-30,18.3141
2016-07-31,18.37905
2016-08-01,16.85452
2016-08-02,18.09616
2016-08-03,15.15828
2016-08-04,14.46812
2016-08-05,16.42193
2016-08-06,18.94152
2016-08-07,19.25303
2016-08-08,16.46046
2016-08-09,16.5298
2016-08-10,16.17316
2016-08-11,15.06582
2016-08-12,17.2739
2016-08-13,18.7599
2016-08-14,20.12592
2016-08-15,17.62504
2016-08-16,18.49022
2016-08-17,13.57762
2016-08-18,13.08119
2016-08-19,15.91779
2016-08-20,18.3086
2016-08-21,17.4115
2016-08-22,11.81644
2016-08-23,11.49832
2016-08-24,11.00409
2016-08-25,11.67664
2016-08-26,15.27716
2016-08-27,17.67567
2016-08-28,18.32181
2016-08-29,9.91106
2016-08-30,11.80653
2016-08-31,13.12632
2016-09-01,14.79174
2016-09-02,16.11923
2016-09-03,18.65973
2016-09-04,17.15722
2016-09-05,11.66674
2016-09-06,13.94527
2016-09-07,11.84175
2016-09-08,11.78561
2016-09-09,15.64261
2016-09-10,18.83035
2016-09-11,16.68391
2016-09-12,12.0652
2016-09-13,12.6541
2016-09-14,13.58202
2016-09-15,15.72626
2016-09-16,18.99106
2016-09-17,19.85624
2016-09-18,16.19958
2016-09-19,9.64358
2016-09-20,8.85545
2016-09-21,8.74207
2016-09-22,8.55604
2016-09-23,11.94302
2016-09-24,15.1891
2016-09-25,13.88142
2016-09-26,9.13063
2016-09-27,10.46032
2016-09-28,9.25391
2016-09-29,8.44487
2016-09-30,12.07181
2016-10-01,14.47252
2016-10-02,16.75105
2016-10-03,12.68712
2016-10-04,8.59787
2016-10-05,9.16916
2016-10-06,9.2374
2016-10-07,12.73886
2016-10-08,14.69377
2016-10-09,13.08119
2016-10-10,8.80921
2016-10-11,9.75805
2016-10-12,8.46248
2016-10-13,8.3337
2016-10-14,11.00849
2016-10-15,13.67669
2016-10-16,14.4428
2016-10-17,8.35571
2016-10-18,8.02439
2016-10-19,8.9325
2016-10-20,9.01175
2016-10-21,11.43888
2016-10-22,13.34316
2016-10-23,14.49123
2016-10-24,7.81194
2016-10-25,8.45478
2016-10-26,7.63693
2016-10-27,7.52905
2016-10-28,10.64305
2016-10-29,13.68769
2016-10-30,12.0641
2016-10-31,8.00567
2016-11-01,8.35131
2016-11-02,7.85267
2016-11-03,7.91211
2016-11-04,10.36346
2016-11-05,13.65467
2016-11-06,12.358
2016-11-07,8.18179
2016-11-08,8.44487
2016-11-09,8.11245
2016-11-10,8.51312
2016-11-11,10.84778
2016-11-12,14.2953
2016-11-13,13.57762
2016-11-14,8.16748
2016-11-15,8.69254
2016-11-16,9.17026
2016-11-17,10.59682
2016-11-18,12.27875
2016-11-19,15.07683
2016-11-20,12.37781
2016-11-21,8.77619
2016-11-22,9.08
2016-11-23,9.02166
2016-11-24,10.32493
2016-11-25,12.49449
2016-11-26,16.51329
2016-11-27,14.09056
2016-11-28,8.81692
2016-11-29,8.50321
2016-11-30,8.96002
2016-12-01,10.24018
2016-12-02,12.13455
2016-12-03,14.69927
2016-12-04,12.85113
2016-12-05,8.97433
2016-12-06,9.56102
2016-12-07,9.07669
2016-12-08,19.47648
2016-12-09,15.47529
2016-12-10,15.59417
2016-12-11,13.49837
2016-12-12,9.33317
2016-12-13,10.28751
2016-12-14,9.95949
2016-12-15,11.35302
2016-12-16,12.64529
2016-12-17,14.34594
2016-12-18,11.74269
