연도,역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2019,1101,판암,138321,120249,119817,103675,141861,124491,144259,125906,150564,131562,138420,121391,142571,124234,135613,117908,131335,113965,144413,126160,139646,122203,142901,124518
2019,1102,신흥,61970,54172,52821,45688,61356,54543,61330,54576,64946,57973,59454,53510,62775,55909,58684,52543,56696,50430,63130,56119,60834,53977,62698,54993
2019,1103,대동,141242,124447,117689,102957,169480,148441,169262,148213,175932,151781,149218,129219,148657,128504,136819,118646,147343,127911,163116,141654,159864,138835,153038,131431
2019,1104,대전,353469,349457,309615,305782,361099,355283,353228,350193,375565,373310,354608,349811,352944,349847,351415,347412,342005,336204,363425,360107,359044,354051,369551,362042
2019,1105,중앙로,207834,227764,194192,213731,206113,227008,189117,210069,215687,238381,189905,210869,205061,226607,202415,223041,182351,202380,193373,215019,186547,208632,212489,235300
2019,1106,중구청,73566,79677,59898,65124,73545,79220,76932,83392,77919,85180,68973,74788,75282,81180,68224,73848,65636,69823,76193,81015,74188,78833,72530,78457
2019,1107,서대전네거리,219280,230368,188636,199106,222990,233306,220341,230838,231140,241612,210150,220323,215949,227753,198494,210066,193147,203671,216937,229140,215955,226872,222532,233291
2019,1108,오룡,134908,122901,112600,102986,140071,126863,139636,126638,145868,131295,130431,117745,136299,123017,126598,115365,125222,113147,139431,126388,140445,128176,141533,128435
2019,1109,용문,241517,245818,203837,208303,241409,247369,237791,244390,245081,249378,223096,227074,235597,238817,219135,221918,208673,211227,237810,241964,230771,235463,237114,242207
2019,1110,탄방,165944,181698,135238,148639,160137,175661,158920,174611,166130,183972,153214,168218,161760,176626,149426,162672,142991,158007,159012,175684,155788,172066,163909,182356
2019,1111,시청,249661,262497,207601,218843,230631,245325,227035,241544,239782,257170,219821,232601,243356,256142,226702,236938,209190,223528,232719,246186,228583,243687,243570,258798
2019,1112,정부청사,203929,218703,171216,181454,202410,215181,205382,217659,216587,229430,192904,205894,202853,217904,187527,200591,182399,195399,205930,220319,204550,218502,209158,225415
2019,1113,갈마,96113,93410,82140,80381,96175,93869,95555,92054,99886,97076,91652,89080,93438,90431,88601,86187,86322,84183,97387,93652,95825,93804,99782,98212
2019,1114,월평,121073,120404,100303,100049,123159,123643,120282,120802,127845,126821,115361,115378,116514,115353,110261,110668,112115,113111,127272,125905,121832,120742,125812,124756
2019,1115,갑천,30086,30191,25968,25838,30973,31026,31653,31734,33043,32450,30039,29808,31052,30079,28802,27848,27749,27224,31391,31524,30760,29972,30972,30333
2019,1116,유성온천,288832,297445,249557,256099,299841,306440,293894,299764,319909,329103,282358,288345,286877,294302,269858,278850,267401,274870,304014,310690,301722,310453,314726,323335
2019,1117,구암,81199,80358,67419,67410,88490,87510,87948,86603,90860,89702,81926,80401,82191,80604,76849,75180,77345,76105,87089,85861,85005,83362,83890,82333
2019,1118,현충원,65815,51200,58538,44008,85085,70261,89349,74141,92774,76201,77183,63329,67443,53511,66124,52221,76009,63537,83993,70475,82308,67926,76473,59798
2019,1119,월드컵경기장,84298,75279,70848,63063,85121,76378,84046,75878,89866,80740,85197,77067,86009,77778,82110,74607,79255,72019,85848,77291,86183,77276,87842,78878
2019,1120,노은,128902,135136,111573,117421,126439,133315,124080,131414,133088,140467,122173,128478,130238,136560,124048,130737,115173,121197,129254,135879,127312,133530,133392,139508
2019,1121,지족,87013,84328,72584,69557,90262,87549,91089,88550,95051,92269,81740,79773,84601,82551,78460,76098,81264,79077,89021,86479,88613,85904,88474,85461
2019,1122,반석,232617,211936,199242,182203,232393,215569,233054,214893,244195,224725,221701,205476,234966,215946,221157,202666,213540,194350,240377,219956,237282,215378,245331,222655
