,사업장명,업태구분명,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모
13,티바두마리치킨,통닭(치킨),20130524,영업/정상,,대전광역시 서구 도마동 85-5번지 1층,40.38
14,대흥치킨,호프/통닭,20130808,영업/정상,,대전광역시 서구 도마동 334-14 1층,44.35
18,오늘통닭도마점,통닭(치킨),20130821,영업/정상,,대전광역시 서구 도마동 50-31번지 1층,38.51
25,교원파닭,통닭(치킨),20111014,영업/정상,,대전광역시 서구 도마동 35-27번지 (1층),28.14
33,롱다리치킨,통닭(치킨),20060918,영업/정상,,대전광역시 서구 도마동 176-18번지 1층,43.88
34,호식이두마리치킨,통닭(치킨),20040816,영업/정상,,대전광역시 서구 변동 3-6번지 1층,20.63
40,다사랑,호프/통닭,19960910,영업/정상,,대전광역시 서구 도마동 50-12번지 2층,96.2
50,B.B.Q치킨,통닭(치킨),19940607,영업/정상,,대전광역시 서구 도마동 109-26번지,18.62
52,지코바치킨,통닭(치킨),19940721,영업/정상,,대전광역시 서구 도마동 157-1번지,36.97
55,지코바치킨,통닭(치킨),20010509,영업/정상,,대전광역시 서구 변동 47-22번지,37.19
61,페리카나도마1점,호프/통닭,19970305,영업/정상,,대전광역시 서구 도마동 129-17번지,30.52
68,호식이두마리치킨도마점,통닭(치킨),20130213,영업/정상,,대전광역시 서구 도마동 121-20번지 1층,26.88
69,충만치킨배재대점,호프/통닭,20020417,영업/정상,,대전광역시 서구 도마동 40-19번지 1층,95.69
71,투존치킨,호프/통닭,20190423,영업/정상,,대전광역시 서구 도마동 18-25번지,40.4
73,옛날통닭,호프/통닭,20190411,영업/정상,,대전광역시 서구 도마동 120-1번지,26.24
74,후라이드참잘하는집,호프/통닭,20190619,영업/정상,,대전광역시 서구 도마동 34-5번지,30.3
76,교촌치킨 도마1호점,통닭(치킨),20021230,영업/정상,,대전광역시 서구 도마동 114-19번지 103호,46.76
81,푸라닭 대전도마점,호프/통닭,20200511,영업/정상,,대전광역시 서구 도마동 114-4번지 1층,49.8
82,부어치킨,호프/통닭,20200601,영업/정상,,대전광역시 서구 도마동 40-14,27.88
83,안녕닭 배재대점,호프/통닭,20200728,영업/정상,,대전광역시 서구 도마동 50-28,36.11
84,맛그랑치킨,통닭(치킨),20110620,영업/정상,,대전광역시 서구 변동 58-4번지 (107호),65.1
88,멕시칸치킨,통닭(치킨),20030604,영업/정상,,대전광역시 서구 도마동 15-1번지 도마스토아 119호,29.83
93,에꿍이치킨,호프/통닭,20070313,영업/정상,,대전광역시 서구 도마동 153-14번지 1층,31.92
94,네네치킨,통닭(치킨),20071016,영업/정상,,대전광역시 서구 도마동 101-22번지 (1층),50.5
98,변동 롱다리치킨,통닭(치킨),20110328,영업/정상,,대전광역시 서구 변동 33-31번지 (1층),43.82
99,처갓집양념치킨 도마점,통닭(치킨),20110908,영업/정상,,대전광역시 서구 도마동 34-33번지 1층,31.22
101,파를품은닭 앤 홍대마약떡볶이,통닭(치킨),20120322,영업/정상,,대전광역시 서구 도마동 46-27번지 1층,20.29
106,더블치킨,통닭(치킨),20070627,영업/정상,,대전광역시 서구 도마동 75-6번지 (1층),46.15
109,뭔닭인지알지,호프/통닭,20151224,영업/정상,,대전광역시 서구 변동 253-64번지,18.1
111,새벽옛날통닭,호프/통닭,20160913,영업/정상,,대전광역시 서구 변동 31-57번지,31.63
