,날짜,영업가게
0,2015-10-15,45
1,2015-10-16,45
2,2015-10-17,45
3,2015-10-18,45
4,2015-10-19,45
5,2015-10-20,45
6,2015-10-21,45
7,2015-10-22,45
8,2015-10-23,45
9,2015-10-24,45
10,2015-10-25,45
11,2015-10-26,45
12,2015-10-27,45
13,2015-10-28,45
14,2015-10-29,45
15,2015-10-30,45
16,2015-10-31,45
17,2015-11-01,45
18,2015-11-02,45
19,2015-11-03,45
20,2015-11-04,45
21,2015-11-05,45
22,2015-11-06,45
23,2015-11-07,45
24,2015-11-08,45
25,2015-11-09,45
26,2015-11-10,45
27,2015-11-11,45
28,2015-11-12,45
29,2015-11-13,45
30,2015-11-14,45
31,2015-11-15,45
32,2015-11-16,45
33,2015-11-17,45
34,2015-11-18,45
35,2015-11-19,45
36,2015-11-20,45
37,2015-11-21,45
38,2015-11-22,45
39,2015-11-23,45
40,2015-11-24,45
41,2015-11-25,45
42,2015-11-26,45
43,2015-11-27,45
44,2015-11-28,45
45,2015-11-29,45
46,2015-11-30,45
47,2015-12-01,45
48,2015-12-02,45
49,2015-12-03,45
50,2015-12-04,45
51,2015-12-05,45
52,2015-12-06,45
53,2015-12-07,45
54,2015-12-08,45
55,2015-12-09,45
56,2015-12-10,45
57,2015-12-11,45
58,2015-12-12,45
59,2015-12-13,45
60,2015-12-14,45
61,2015-12-15,45
62,2015-12-16,45
63,2015-12-17,45
64,2015-12-18,45
65,2015-12-19,45
66,2015-12-20,45
67,2015-12-21,45
68,2015-12-22,45
69,2015-12-23,45
70,2015-12-24,46
71,2015-12-25,46
72,2015-12-26,46
73,2015-12-27,46
74,2015-12-28,46
75,2015-12-29,46
76,2015-12-30,46
77,2015-12-31,46
78,2016-01-01,46
79,2016-01-02,46
80,2016-01-03,46
81,2016-01-04,46
82,2016-01-05,46
83,2016-01-06,46
84,2016-01-07,46
85,2016-01-08,46
86,2016-01-09,46
87,2016-01-10,46
88,2016-01-11,46
89,2016-01-12,46
90,2016-01-13,46
91,2016-01-14,46
92,2016-01-15,46
93,2016-01-16,45
94,2016-01-17,45
95,2016-01-18,45
