날짜,지점,강수량(mm)
2015-10-15,133,
2015-10-16,133,
2015-10-17,133,
2015-10-18,133,
2015-10-19,133,
2015-10-20,133,
2015-10-21,133,
2015-10-22,133,
2015-10-23,133,
2015-10-24,133,0
2015-10-25,133,
2015-10-26,133,
2015-10-27,133,26.4
2015-10-28,133,
2015-10-29,133,0.5
2015-10-30,133,0
2015-10-31,133,
2015-11-01,133,
2015-11-02,133,
2015-11-03,133,
2015-11-04,133,
2015-11-05,133,
2015-11-06,133,0.6
2015-11-07,133,21.2
2015-11-08,133,15.5
2015-11-09,133,1.7
2015-11-10,133,
2015-11-11,133,
2015-11-12,133,
2015-11-13,133,30.7
2015-11-14,133,3.7
2015-11-15,133,
2015-11-16,133,26.3
2015-11-17,133,1.5
2015-11-18,133,1.9
2015-11-19,133,1.8
2015-11-20,133,
2015-11-21,133,
2015-11-22,133,0.1
2015-11-23,133,9.6
2015-11-24,133,0.8
2015-11-25,133,8.7
2015-11-26,133,1.9
2015-11-27,133,0
2015-11-28,133,0.1
2015-11-29,133,0
2015-11-30,133,0
2015-12-01,133,
2015-12-02,133,6.7
2015-12-03,133,3.6
2015-12-04,133,0.5
2015-12-05,133,
2015-12-06,133,
2015-12-07,133,
2015-12-08,133,
2015-12-09,133,
2015-12-10,133,10.3
2015-12-11,133,0.3
2015-12-12,133,
2015-12-13,133,
2015-12-14,133,9.9
2015-12-15,133,0.7
2015-12-16,133,2.8
2015-12-17,133,0
2015-12-18,133,
2015-12-19,133,
2015-12-20,133,
2015-12-21,133,1.2
2015-12-22,133,0.1
2015-12-23,133,2
2015-12-24,133,
2015-12-25,133,
2015-12-26,133,0
2015-12-27,133,
2015-12-28,133,
2015-12-29,133,
2015-12-30,133,1.6
2015-12-31,133,
2016-01-01,133,
2016-01-02,133,
2016-01-03,133,
2016-01-04,133,
2016-01-05,133,
2016-01-06,133,
2016-01-07,133,
2016-01-08,133,0
2016-01-09,133,0
2016-01-10,133,
2016-01-11,133,
2016-01-12,133,
2016-01-13,133,0.2
2016-01-14,133,0
2016-01-15,133,
2016-01-16,133,
2016-01-17,133,3.8
2016-01-18,133,3.5
2016-01-19,133,0.4
2016-01-20,133,0
2016-01-21,133,
2016-01-22,133,
2016-01-23,133,1.2
2016-01-24,133,0.3
2016-01-25,133,0.1
2016-01-26,133,0.4
2016-01-27,133,
2016-01-28,133,0.1
2016-01-29,133,1.6
2016-01-30,133,0
2016-01-31,133,
2016-02-01,133,
2016-02-02,133,
2016-02-03,133,
2016-02-04,133,
2016-02-05,133,
2016-02-06,133,0
2016-02-07,133,
2016-02-08,133,
2016-02-09,133,
2016-02-10,133,
2016-02-11,133,0.4
2016-02-12,133,16.8
2016-02-13,133,8.3
2016-02-14,133,0
2016-02-15,133,0
2016-02-16,133,0.6
2016-02-17,133,
2016-02-18,133,
2016-02-19,133,
2016-02-20,133,
2016-02-21,133,
2016-02-22,133,
2016-02-23,133,0.7
2016-02-24,133,
2016-02-25,133,
2016-02-26,133,3.8
2016-02-27,133,2.6
2016-02-28,133,12.2
2016-02-29,133,0.4
2016-03-01,133,
2016-03-02,133,
2016-03-03,133,
2016-03-04,133,8
2016-03-05,133,26.7
2016-03-06,133,0
2016-03-07,133,
2016-03-08,133,
2016-03-09,133,
2016-03-10,133,
2016-03-11,133,0
2016-03-12,133,
2016-03-13,133,
2016-03-14,133,
2016-03-15,133,
2016-03-16,133,
2016-03-17,133,
2016-03-18,133,5.6
2016-03-19,133,
2016-03-20,133,
2016-03-21,133,
2016-03-22,133,
2016-03-23,133,
2016-03-24,133,
2016-03-25,133,
2016-03-26,133,
2016-03-27,133,
2016-03-28,133,
2016-03-29,133,
2016-03-30,133,
2016-03-31,133,
2016-04-01,133,
2016-04-02,133,
2016-04-03,133,2.5
2016-04-04,133,
2016-04-05,133,
2016-04-06,133,4.4
2016-04-07,133,20.1
2016-04-08,133,
2016-04-09,133,
2016-04-10,133,
2016-04-11,133,
2016-04-12,133,0
2016-04-13,133,28.1
2016-04-14,133,
2016-04-15,133,
2016-04-16,133,23
2016-04-17,133,20.6
2016-04-18,133,1.7
2016-04-19,133,
2016-04-20,133,1.2
2016-04-21,133,37.2
2016-04-22,133,
2016-04-23,133,
2016-04-24,133,
2016-04-25,133,
2016-04-26,133,
2016-04-27,133,15.4
2016-04-28,133,0.7
2016-04-29,133,
2016-04-30,133,
2016-05-01,133,
2016-05-02,133,6.3
2016-05-03,133,19.8
2016-05-04,133,
2016-05-05,133,
2016-05-06,133,
2016-05-07,133,
2016-05-08,133,
2016-05-09,133,
2016-05-10,133,25.7
2016-05-11,133,3.7
2016-05-12,133,
2016-05-13,133,
2016-05-14,133,
2016-05-15,133,7.5
2016-05-16,133,5.2
2016-05-17,133,
2016-05-18,133,
2016-05-19,133,
2016-05-20,133,
2016-05-21,133,
2016-05-22,133,
2016-05-23,133,
2016-05-24,133,16.8
2016-05-25,133,
2016-05-26,133,
2016-05-27,133,
2016-05-28,133,
2016-05-29,133,0.1
2016-05-30,133,
2016-05-31,133,
2016-06-01,133,
2016-06-02,133,
2016-06-03,133,
2016-06-04,133,0.4
2016-06-05,133,
2016-06-06,133,0.5
2016-06-07,133,1.2
2016-06-08,133,
2016-06-09,133,
2016-06-10,133,
2016-06-11,133,0
2016-06-12,133,0.2
2016-06-13,133,
2016-06-14,133,
2016-06-15,133,7.8
2016-06-16,133,0.1
2016-06-17,133,
2016-06-18,133,
2016-06-19,133,
2016-06-20,133,2.2
2016-06-21,133,
2016-06-22,133,0
2016-06-23,133,0
2016-06-24,133,43.3
2016-06-25,133,
2016-06-26,133,
2016-06-27,133,5.5
2016-06-28,133,
2016-06-29,133,
2016-06-30,133,1.3
2016-07-01,133,64
2016-07-02,133,11.3
2016-07-03,133,13.7
2016-07-04,133,179.1
2016-07-05,133,14.5
2016-07-06,133,38.8
2016-07-07,133,3
2016-07-08,133,0.1
2016-07-09,133,
2016-07-10,133,
2016-07-11,133,0.3
2016-07-12,133,2.2
2016-07-13,133,
2016-07-14,133,
2016-07-15,133,1.3
2016-07-16,133,39
