,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모,장사일
0,20170321,영업/정상,,대전광역시 서구 변동 21-27번지 1층 일부호,38.3,20200926
1,20170323,영업/정상,,대전광역시 서구 도마동 122-1번지,39.47,20200926
2,20080403,영업/정상,,대전광역시 서구 도마동 107-27번지 1층,22.17,20200926
3,20080407,영업/정상,,대전광역시 서구 도마동 15-2번지,70.56,20200926
4,20080829,영업/정상,,대전광역시 서구 도마동 69-6번지 2층,78.8,20200926
5,20091009,영업/정상,,대전광역시 서구 도마동 26-8번지 지하1층,101.98,20200926
6,20091001,영업/정상,,대전광역시 서구 변동 12-42번지 (1층),23.66,20200926
7,20091013,영업/정상,,대전광역시 서구 도마동 172-11번지 (1층),37.02,20200926
8,20100319,영업/정상,,대전광역시 서구 도마동 106-14번지 1층,175.79,20200926
9,20100322,영업/정상,,대전광역시 서구 도마동 25-7번지 2층,153.39,20200926
10,20071207,영업/정상,,대전광역시 서구 도마동 103-4번지 (1층),73.26,20200926
11,20090702,영업/정상,,대전광역시 서구 도마동 74-11번지 1층,63.75,20200926
12,20090703,영업/정상,,대전광역시 서구 도마동 23-2번지 1층,25.92,20200926
13,20090708,영업/정상,,대전광역시 서구 변동 49-13번지 (1층),156.27,20200926
14,20091016,영업/정상,,대전광역시 서구 도마동 25-10번지 (1층),68.85,20200926
15,20090710,영업/정상,,대전광역시 서구 도마동 64-24번지 1층,112.2,20200926
16,20141222,영업/정상,,대전광역시 서구 변동 21-14번지 1층,19.4,20200926
17,20131030,영업/정상,,대전광역시 서구 변동 31-44번지 1층,59.4,20200926
18,20170323,영업/정상,,대전광역시 서구 변동 42-1번지,62.97,20200926
19,20000921,영업/정상,,대전광역시 서구 변동 46-8번지 1층,114.36,20200926
20,20170614,영업/정상,,대전광역시 서구 도마동 188-6번지,138.42,20200926
21,20001129,영업/정상,,대전광역시 서구 변동 30-18번지,48.45,20200926
22,20080808,영업/정상,,대전광역시 서구 도마동 15-2번지 (126호),70.56,20200926
23,19961119,영업/정상,,대전광역시 서구 변동 24-66번지,72.63,20200926
24,20000906,영업/정상,,대전광역시 서구 도마동 330-24번지,29.42,20200926
