,사업장명,업태구분명,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모
2520,초밥어선생,일식,20170321,영업/정상,,대전광역시 서구 변동 21-27번지 1층 일부호,38.3
2522,갈군바다시장,일식,20170323,영업/정상,,대전광역시 서구 도마동 122-1번지,39.47
2523,해와달야식,한식,20080403,영업/정상,,대전광역시 서구 도마동 107-27번지 1층,22.17
2525,알토랑,한식,20080407,영업/정상,,대전광역시 서구 도마동 15-2번지,70.56
2576,마음비어,호프/통닭,20080829,영업/정상,,대전광역시 서구 도마동 69-6번지 2층,78.8
2709,따다,호프/통닭,20091009,영업/정상,,대전광역시 서구 도마동 26-8번지 지하1층,101.98
2745,행복김밥,한식,20091001,영업/정상,,대전광역시 서구 변동 12-42번지 (1층),23.66
2790,회랑,한식,20091013,영업/정상,,대전광역시 서구 도마동 172-11번지 (1층),37.02
2956,심청아배고파,한식,20100319,영업/정상,,대전광역시 서구 도마동 106-14번지 1층,175.79
3018,내가찜한닭 (배재대점),호프/통닭,20100322,영업/정상,,대전광역시 서구 도마동 25-7번지 2층,153.39
3025,도솔생고기갈비,식육(숯불구이),20071207,영업/정상,,대전광역시 서구 도마동 103-4번지 (1층),73.26
3144,장금이집밥야식,한식,20090702,영업/정상,,대전광역시 서구 도마동 74-11번지 1층,63.75
3151,정가네,분식,20090703,영업/정상,,대전광역시 서구 도마동 23-2번지 1층,25.92
3162,오말숙대패삼겹살,식육(숯불구이),20090708,영업/정상,,대전광역시 서구 변동 49-13번지 (1층),156.27
3187,티앤샌드위치,패스트푸드,20091016,영업/정상,,대전광역시 서구 도마동 25-10번지 (1층),68.85
3199,도마국시,식육(숯불구이),20090710,영업/정상,,대전광역시 서구 도마동 64-24번지 1층,112.2
3241,참착한육개장,탕류(보신용),20141222,영업/정상,,대전광역시 서구 변동 21-14번지 1층,19.4
3339,아리아리,한식,20131030,영업/정상,,대전광역시 서구 변동 31-44번지 1층,59.4
3347,산골울엄니보리밥,한식,20170323,영업/정상,,대전광역시 서구 변동 42-1번지,62.97
3362,부산식당,한식,20000921,영업/정상,,대전광역시 서구 변동 46-8번지 1층,114.36
3392,자연담은노랑콩,한식,20170614,영업/정상,,대전광역시 서구 도마동 188-6번지,138.42
3396,투다리식당,호프/통닭,20001129,영업/정상,,대전광역시 서구 변동 30-18번지,48.45
3397,굿뜨래쌈밥,한식,20080808,영업/정상,,대전광역시 서구 도마동 15-2번지 (126호),70.56
3402,월척활어회식당,회집,19961119,영업/정상,,대전광역시 서구 변동 24-66번지,72.63
3411,부부식당,한식,20000906,영업/정상,,대전광역시 서구 도마동 330-24번지,29.42
3414,청사초롱,경양식,20001010,영업/정상,,대전광역시 서구 변동 33-13번지 (지상1층),31.96
3440,도솔촌,식육(숯불구이),20080715,영업/정상,,대전광역시 서구 도마동 335-35번지 102호,359.32
3444,고향양꼬치,중국식,20080718,영업/정상,,대전광역시 서구 도마동 114-10번지 (1층),37.44
3447,은혜식당,한식,20080724,영업/정상,,대전광역시 서구 도마동 328-21번지 (1층),28.38
3455,쓰촨,중국식,20140418,영업/정상,,대전광역시 서구 도마동 25-7번지 지하1층,201.98
3457,바다생선구이,식육(숯불구이),20140418,영업/정상,,대전광역시 서구 도마동 88-44번지,70.01
3462,변동뒷고기,식육(숯불구이),20170324,영업/정상,,대전광역시 서구 변동 47-22번지,49.04
3464,매일,호프/통닭,20001212,영업/정상,,대전광역시 서구 도마동 100-19번지,31.86
3471,통통실내마차,한식,20100427,영업/정상,,대전광역시 서구 변동 73-8번지 (1층),28.35
3473,얼큰이칼국수,분식,20100429,영업/정상,,대전광역시 서구 도마동 127-16번지 (1층),15.7
3474,청녀식당,김밥(도시락),20000908,영업/정상,,대전광역시 서구 도마동 330-22번지 1층,42.59
3476,이금신 진주냉면,한식,20100503,영업/정상,,대전광역시 서구 도마동 23-33번지 1층,117.82
3490,누이식당,한식,20001027,영업/정상,,대전광역시 서구 도마동 61-23번지,92.63
3493,토박이,한식,20100204,영업/정상,,대전광역시 서구 도마동 180-15번지 1층,13.07
3494,향미각식당,중국식,20001109,영업/정상,,대전광역시 서구 변동 62-1번지,55.44
3538,청주식당,호프/통닭,20170329,영업/정상,,대전광역시 서구 도마동 109-13번지,33.98
3539,후루룩,한식,20090107,영업/정상,,대전광역시 서구 도마동 69-4번지 삼정하이츠상가동 1층 2호,22.35
3548,향우한방족발,한식,20071221,영업/정상,,대전광역시 서구 변동 56-13번지 1층,33.18
3555,해팔이네,한식,20170405,영업/정상,,대전광역시 서구 변동 7-18번지,45.05
3558,엘빈,호프/통닭,20001226,영업/정상,,대전광역시 서구 도마동 178-77번지,82.16
3566,시골집 추어탕,한식,20010115,영업/정상,,대전광역시 서구 도마동 565-63번지,64.67
3568,칠갑산,한식,20100610,영업/정상,,대전광역시 서구 변동 42-7번지 (1층),29.75
3576,토담골흑염소,한식,20100224,영업/정상,,대전광역시 서구 도마동 61-15번지 1층,54.06
3578,빅스푸드,분식,20100226,영업/정상,,대전광역시 서구 도마동 120-21번지 1층 1동 1호,46.81
3582,카페프랜드,호프/통닭,20010220,영업/정상,,대전광역시 서구 도마동 50-8번지 1층,37.19
3586,피자2001도마정림점,패스트푸드,20001117,영업/정상,,대전광역시 서구 도마동 50-31번지 1층,33.6
3602,골목식당,한식,20090417,영업/정상,,대전광역시 서구 도마동 171-1번지 (1층),26.79
