,사업장명,업태구분명,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모
0,마음비어,호프/통닭,20080829,영업/정상,,대전광역시 서구 도마동 69-6번지 2층,78.8
1,따다,호프/통닭,20091009,영업/정상,,대전광역시 서구 도마동 26-8번지 지하1층,101.98
2,내가찜한닭 (배재대점),호프/통닭,20100322,영업/정상,,대전광역시 서구 도마동 25-7번지 2층,153.39
3,투다리식당,호프/통닭,20001129,영업/정상,,대전광역시 서구 변동 30-18번지,48.45
4,매일,호프/통닭,20001212,영업/정상,,대전광역시 서구 도마동 100-19번지,31.86
5,청주식당,호프/통닭,20170329,영업/정상,,대전광역시 서구 도마동 109-13번지,33.98
6,엘빈,호프/통닭,20001226,영업/정상,,대전광역시 서구 도마동 178-77번지,82.16
7,카페프랜드,호프/통닭,20010220,영업/정상,,대전광역시 서구 도마동 50-8번지 1층,37.19
8,로충칭마라탕 도마동점,호프/통닭,20170223,영업/정상,,대전광역시 서구 도마동 25-8번지,80.65
9,복덕얼큰이칼국수,통닭(치킨),20080530,영업/정상,,대전광역시 서구 도마동 128-93번지 1층,65.52
10,속푸리해장국,통닭(치킨),20130515,영업/정상,,대전광역시 서구 변동 56-8번지 1층,45.03
11,드림,호프/통닭,20131108,영업/정상,,대전광역시 서구 변동 49-10번지 1층,43.64
12,푸드스토리,호프/통닭,20131113,영업/정상,,대전광역시 서구 변동 73-61번지 1층,22.03
13,티바두마리치킨,통닭(치킨),20130524,영업/정상,,대전광역시 서구 도마동 85-5번지 1층,40.38
14,대흥치킨,호프/통닭,20130808,영업/정상,,대전광역시 서구 도마동 334-14 1층,44.35
15,소풍7080라이브,호프/통닭,20130604,영업/정상,,대전광역시 서구 변동 73-13번지 지하1층,109.51
16,옐로우,호프/통닭,20141031,영업/정상,,대전광역시 서구 도마동 90-1번지 1층,25.4
17,마니아,호프/통닭,20141110,영업/정상,,대전광역시 서구 변동 62-46번지 지하1층,138.96
18,오늘통닭도마점,통닭(치킨),20130821,영업/정상,,대전광역시 서구 도마동 50-31번지 1층,38.51
19,덜렁이포차,호프/통닭,20141112,영업/정상,,대전광역시 서구 도마동 123-1번지 1층,16.83
20,닥시쿄,호프/통닭,20140820,영업/정상,,대전광역시 서구 도마동 109-5번지 1층,17.8
21,행아웃,호프/통닭,20141013,영업/정상,,대전광역시 서구 도마동 25-4번지 지하1층,50.28
22,카스광장,호프/통닭,20051129,영업/정상,,대전광역시 서구 변동 7-17번지 2층,42.63
23,신불닭,호프/통닭,20040914,영업/정상,,대전광역시 서구 도마동 114-18번지 1층,59.5
24,종로맥가1,호프/통닭,20050610,영업/정상,,대전광역시 서구 도마동 40-5번지 1층,51.07
25,교원파닭,통닭(치킨),20111014,영업/정상,,대전광역시 서구 도마동 35-27번지 (1층),28.14
26,유디씨(UDC),호프/통닭,20060522,영업/정상,,대전광역시 서구 도마동 49-11번지,35.32
27,올드팝,호프/통닭,20141013,영업/정상,,대전광역시 서구 도마동 97-6번지 지하1층,143.04
28,라임호프,호프/통닭,20120607,영업/정상,,대전광역시 서구 도마동 24-6번지 2층,109.52
29,투다리미소점,호프/통닭,20040515,영업/정상,,대전광역시 서구 도마동 128-5번지 1층,37.71
30,뮤직뱅크,호프/통닭,20040531,영업/정상,,대전광역시 서구 변동 13-2번지,90.12
31,아이엠짜장,호프/통닭,20040625,영업/정상,,대전광역시 서구 도마동 565-50번지 1층,45.91
