,±Á³×,±³ÃÌ,³×³×,¸¾½ºÅÍÄ¡,bhc,bbq,È£½ÄÀÌ,ÁöÄÚ¹Ù,Æä¸®Ä«³ª,¶Ç·¡¿À·¡,¸ß½ÃÄ«³ª,Ã³°«Áý,¸ß½ÃÄ­,ºÎ¾î,ÈÇ¶ö¶ó,¶ÇºÀÀÌ,¸¶ÆÄ,³ë¶ûÅë´ß,¹Ù¸¥Ä¡Å²,¼ø¼öÄ¡Å²,¾Æ¿ô´ß,¶¥¶¥,±ñºÎ,µðµð,À£´ý,¿Àºì¸¶·ç,60°è,ÀÚ´ã
20160122~20160223,1680431,1348860,1086133,928216,887052,600022,441066,258964,252210,227403,197147,122170,48345,74598,55997,,,,,,,,,,,,,
20160224~20160322,1535944,1182306,832506,954784,709915,481220,417921,208818,210259,201221,156549,167995,40245,66274,58360,,,,,,,,,,,,,
20160325~20160426,1266970,1221143,683791,975212,730531,524283,388856,164379,194098,191143,83487,118654,41891,58485,77905,,,,,,,,,,,,,
20160429~20160530,1013141,1251619,658511,1468030,722056,485060,358328,143653,172254,203984,133813,159438,37191,59539,76605,,,,,,,,,,,,,
20160528~20160629,917043,1263797,616528,1140100,655354,486127,348914,129335,228281,242431,138824,104423,36067,57721,78096,,,,,,,,,,,,,
201607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160917~20161018,772714,1186195,561484,1034164,666408,462855,383644,127337,167663,102087,108675,101502,35270,46923,60820,,,,,,,,,,,,,
20161021~20161122,719868,1197447,564822,925413,698790,492105,373395,181538,173598,140915,145400,161877,18601,51311,67253,,,,,,,,,,,,,
20161125~20161226,828046,1201314,766774,1051737,531073,742512,384084,165513,180238,161567,134079,107713,35567,55293,53296,,,,,,,,,,,,,
201701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170213~20170314,1013564,1531802,833688,1045713,889896,312550,364679,179708,175766,184734,121885,153323,28836,51320,23015,,,,,,,,,,,,,
201704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
